customer_type,product_category,customer_count,customer_percentage
"Repeat Customer",party_supplies,1,0.02
"Repeat Customer",pc_gamer,1,0.02
"Repeat Customer",portateis_cozinha_e_preparadores_de_alimentos,1,0.02
"Repeat Customer",small_appliances_home_oven_and_coffee,1,0.02
"One-time Customer",bed_bath_table,8543,9.17
"One-time Customer",health_beauty,8317,8.93
"One-time Customer",sports_leisure,7106,7.63
"One-time Customer",computers_accessories,6272,6.73
"One-time Customer",furniture_decor,5852,6.28
"One-time Customer",housewares,5524,5.93
"One-time Customer",watches_gifts,5339,5.73
"One-time Customer",telephony,4008,4.30
"One-time Customer",auto,3719,3.99
"One-time Customer",toys,3685,3.96
"One-time Customer",cool_stuff,3504,3.76
"One-time Customer",garden_tools,3325,3.57
"One-time Customer",perfumery,2985,3.21
"One-time Customer",baby,2739,2.94
"One-time Customer",electronics,2462,2.64
"One-time Customer",stationery,2207,2.37
"One-time Customer",fashion_bags_accessories,1634,1.75
"One-time Customer",pet_shop,1605,1.72
"One-time Customer",,1363,1.46
"One-time Customer",office_furniture,1219,1.31
"One-time Customer",consoles_games,1024,1.10
"One-time Customer",luggage_accessories,987,1.06
"One-time Customer",construction_tools_construction,707,0.76
"One-time Customer",home_appliances,626,0.67
"One-time Customer",small_appliances,605,0.65
"One-time Customer",musical_instruments,603,0.65
"One-time Customer",books_general_interest,491,0.53
"One-time Customer",home_construction,456,0.49
"One-time Customer",food,421,0.45
"One-time Customer",furniture_living_room,385,0.41
"One-time Customer",home_confort,365,0.39
"One-time Customer",audio,333,0.36
"One-time Customer",drinks,269,0.29
"One-time Customer",market_place,266,0.29
"One-time Customer",books_technical,255,0.27
"One-time Customer",kitchen_dining_laundry_garden_furniture,233,0.25
"One-time Customer",construction_tools_lights,232,0.25
"One-time Customer",air_conditioning,231,0.25
"One-time Customer",industry_commerce_and_business,225,0.24
"One-time Customer",home_appliances_2,220,0.24
"One-time Customer",fashion_shoes,219,0.24
"One-time Customer",food_drink,212,0.23
"One-time Customer",fixed_telephony,205,0.22
"One-time Customer",art,194,0.21
"One-time Customer",costruction_tools_garden,180,0.19
"One-time Customer",agro_industry_and_commerce,176,0.19
"One-time Customer",computers,175,0.19
"One-time Customer",construction_tools_safety,158,0.17
"One-time Customer",signaling_and_security,134,0.14
"One-time Customer",christmas_supplies,121,0.13
"One-time Customer",fashion_underwear_beach,112,0.12
"One-time Customer",fashion_male_clothing,100,0.11
"One-time Customer",costruction_tools_tools,94,0.10
"One-time Customer",furniture_bedroom,82,0.09
"One-time Customer",tablets_printing_image,75,0.08
"One-time Customer",small_appliances_home_oven_and_coffee,74,0.08
"One-time Customer",cine_photo,62,0.07
"One-time Customer",dvds_blu_ray,56,0.06
"One-time Customer",books_imported,50,0.05
"One-time Customer",party_supplies,38,0.04
"One-time Customer",fashio_female_clothing,34,0.04
"One-time Customer",furniture_mattress_and_upholstery,34,0.04
"One-time Customer",music,34,0.04
"One-time Customer",flowers,29,0.03
"One-time Customer",diapers_and_hygiene,25,0.03
"One-time Customer",fashion_sport,25,0.03
"One-time Customer",home_comfort_2,22,0.02
"One-time Customer",arts_and_craftmanship,18,0.02
"One-time Customer",portateis_cozinha_e_preparadores_de_alimentos,13,0.01
"One-time Customer",cds_dvds_musicals,12,0.01
"One-time Customer",la_cuisine,11,0.01
"One-time Customer",fashion_childrens_clothes,7,0.01
"One-time Customer",pc_gamer,7,0.01
"One-time Customer",security_and_services,2,0.00
